player name,nationality
Raul Jiménez,Mexico
Henry Martín,Mexico
Hirving Lozano,Mexico
Jesus Manuel Corona,Mexico
Santiago Gimenez,Mexico
Wojciech Szczesny,Polonia
Bartlomiej Dragowski,Polonia
Lukasz Skorupski,Polonia
Jan Bednarek,Polonia
Kamil Glik,Polonia
Robert Gumny,Polonia
Artur Jedrzejczyk,Polonia
Jakub Kiwior,Polonia
Mateusz Wieteska,Polonia
Bartosz Bereszynski,Polonia
Matthew Cash,Polonia
Nicola Zalewski,Polonia
Krystian Bielik,Polonia
Przemyslaw Frankowski,Polonia
Kamil Grosicki,Polonia
Grzegorz Krychowiak,Polonia
Jakub Kaminski,Polonia
Michal Skoras,Polonia
Damian Szymanski,Polonia
Sebastian Szymanski,Polonia
Piotr Zielinski,Polonia
Szymon Zurkowski,Polonia
Robert Lewandowski,Polonia
Arkadiusz Milik,Polonia
Krzysztof Piatek,Polonia
Karol Swiderski,Polonia
Mohammed Al-Rubaie,Saudi Arabia
Mohammed Al-Owais,Saudi Arabia
Fawaz Al-Qarni,Saudi Arabia
Amin Mohammedsaleh Ahmed Jan Al Bukhari,Saudi Arabia
Nawaf Dhahi Faisal Al Suweiti Al Aqidi,Saudi Arabia
Sultan Al-Ghannam,Saudi Arabia
Abdullah Mohammed Musa Madu,Saudi Arabia
Abdulelah Al-Amri,Saudi Arabia
Ali Al-Bulaihi,Saudi Arabia
Mohammed Al-Burayk,Saudi Arabia
Saud Abdullah Salim Abdulhamid,Saudi Arabia
Yasser Al-Shahrani,Saudi Arabia
Hassan Al-Tambakti,Saudi Arabia
Ahmed Mohammed Bamasud,Saudi Arabia
Salman Al-Faraj,Saudi Arabia
Abdulelah Saad Hameed Al Malki,Saudi Arabia
Abdullah Otayf,Saudi Arabia
Ali Al-Hassan,Saudi Arabia
Nawaf Shaker Al Abid,Saudi Arabia
Abdullah Al-Hamdan,Saudi Arabia
Nasser Al-Dawsari,Saudi Arabia
Ayman Yahya Salem Ahmed,Saudi Arabia
Mohammed Kanno,Saudi Arabia
Riyadh Mohammed Sharahili,Saudi Arabia
Firas Al-Buraikan,Saudi Arabia
Salem Al-Dawsari,Saudi Arabia
Saleh Al-Shehri,Saudi Arabia
Sami Al-Najei,Saudi Arabia
Fahad Mosaed Al Muwallad Al Harbi,Saudi Arabia
Abdulrahman Al-Aboud,Saudi Arabia
Hattan Bahebri,Saudi Arabia
Haitham Mohammed Asiri,Saudi Arabia
Abdullah Hadi Radif,Saudi Arabia
Hugo Lloris,France
Alphonse Areola,France
Steve Mandanda,France
Lucas Hernandez,France
Theo Hernandez,France
Presnel Kimpembe,France
Ibrahima Konate,France
Jules Kounde,France
Benjamin Pavard,France
William Saliba,France
Dayot Upamecano,France
Raphael Varane,France
Eduardo Camavinga,France
Youssouf Fofana,France
Matteo Guendouzi,France
Adrien Rabiot,France
Aurelien Tchouameni,France
Jordan Veretout,France
Karim Benzema,France
Kingsley Coman,France
Ousmane Dembele,France
Olivier Giroud,France
Antoine Griezmann,France
Kylian Mbappe,France
Christopher Nkunku,France
Maty Ryan,Australia
Andrew Redmayne,Australia
Danny Vukovic,Australia
Milos Degenek,Australia
Aziz Behich,Australia
Joel King,Australia
Nathaniel Atkinson,Australia
Fran Karacic,Australia
Harry Souttar,Australia
Kye Rowles,Australia
Bailey Wright,Australia
Thomas Deng,Australia
Aaron Mooy,Australia
Jackson Irvine,Australia
Ajdin Hrustic,Australia
Keanu Baccus,Australia
Cameron Devlin,Australia
Riley McGree,Australia
Awer Mabil,Australia
Mathew Leckie,Australia
Martin Boyle,Australia
Jamie Maclaren,Australia
Jason Cummings,Australia
Mitchell Duke,Australia
Garang Kuol,Australia
Craig Goodwin,Australia
Kasper Schmeichel,Denmark
Oliver Christensen,Denmark
Frederik Ronnow,Denmark
Joachim Andersen,Denmark
Victor Nelsson,Denmark
Simon Kjaer,Denmark
Joakim Maehle,Denmark
Andreas Christensen,Denmark
Rasmus Kristensen,Denmark
Jens Larsen,Denmark
Mathias Jensen,Denmark
Thomas Delaney,Denmark
Christian Eriksen,Denmark
Mikkel Damsgaard,Denmark
Anders Dreyer,Denmark
Philip Billing,Denmark
Daniel Wass,Denmark
Casper Nielsen,Denmark
Alexander Bah,Denmark
Pierre Emile Hojbjerg,Denmark
Martin Braithwaite,Denmark
Skov Olsen,Denmark
Kasper Dolberg,Denmark
Jesper Lindstrom,Denmark
Rasmus Hojlund,Denmark
Mohamed Sedki Debchi,Tunisia
Aymen Dahmen,Tunisia
Bechir Ben Said,Tunisia
Bilel Ifa,Tunisia
Montassar Talbi,Tunisia
Ali El Abdi,Tunisia
Dylan Bronn,Tunisia
Ahmed Mortadha Ben Ouannes,Tunisia
Ali Maaloul,Tunisia
Omar Rekik,Tunisia
Mohamed Drager,Tunisia
Hamza Mathlouthi,Tunisia
Rami Kaib,Tunisia
Yan Valery,Tunisia
Nader Ghandri,Tunisia
Saif Eddine Khaoui,Tunisia
Ferjani Sassi,Tunisia
Hannibal Mejbri,Tunisia
Ellyes Skhiri,Tunisia
Ghaylene Chaalali,Tunisia
Naim Sliti,Tunisia
Chaim El Djebali,Tunisia
Aissa Laidouni,Tunisia
Sayfallah Ltaief,Tunisia
Youssef Msakni,Tunisia
Wahbi Khazri,Tunisia
Taha Yassine Khenissi,Tunisia
Seifeddine Jaziri,Tunisia
Anis Ben Slimane,Tunisia
Issam Jebali,Tunisia
Unai Simon,Spain
Robert Sanchez,Spain
David Raya,Spain
Kepa Arrizabalaga,Spain
Dani Carvajal,Spain
Cesar Azpilicueta,Spain
Jesus Navas,Spain
Pau Torres,Spain
Hugo Guiillamon,Spain
Diego Llorente,Spain
Inigo Martinez,Spain
Aymeric Laporte,Spain
Eric Garcia,Spain
Jordi Alba,Spain
Jose Luis Gaya,Spain
Alex Moreno,Spain
Alejandro Balde,Spain
Marcos Alonso,Spain
Sergio Ramos,Spain
Sergio Busquets,Spain
Rodrigo Hernandez,Spain
Pedri,Spain
Koke,Spain
Gavi,Spain
Carlos Soler,Spain
Marcos Llorente,Spain
Pablo Sarabia,Spain
Fabián Ruiz,Spain
Thiago Alcantara,Spain
Brais Mendez,Spain
Mikel Merino,Spain
Sergio Canales,Spain
Abel Ruiz,Spain
Rodrigo Moreno,Spain
Gerard Moreno,Spain
Borja Iglesias,Spain
Marco Asensio,Spain
Nico Williams,Spain
Alvaro Morata,Spain
Yéremy Pino,Spain
Ferran Torres,Spain
Dani Olmo,Spain
Iago Aspas,Spain
Ansu Fati,Spain
Mikel Oyarzabal,Spain
Keylor Navas,Costa Rica
Esteban Alvarado,Costa Rica
Patrick Sequeira,Costa Rica
Francisco Calvo,Costa Rica
Juan Pablo Vargas,Costa Rica
Kendall Watson,Costa Rica
Oscar Duarte ,Costa Rica
Daniel Chacon,Costa Rica
Keysher Fuller,Costa Rica
Carlos Martínez,Costa Rica
Bryan Oviedo,Costa Rica
Ronald Matarrita,Costa Rica
Yeltsin Tejeda ,Costa Rica
Celso Borges ,Costa Rica
Youstin Salas,Costa Rica
Roan Wilson ,Costa Rica
Gerson Torres ,Costa Rica
Douglas López,Costa Rica
Jewison Bennette ,Costa Rica
Álvaro Zamora ,Costa Rica
Anthony Hernández ,Costa Rica
Brandon Aguilera,Costa Rica
Bryan Ruiz ,Costa Rica
Joel Campbell ,Costa Rica
Anthony Contreras,Costa Rica
Johan Venegas,Costa Rica
Manuel Neuer,Germany
Marc-Andre ter Stegen,Germany
Kevin Trapp,Germany
Matthias Ginter,Germany
Antonio Rudiger,Germany
Niklas Sule,Germany
Nico Schlotterbeck,Germany
Thilo Kehrer,Germany
David Raum,Germany
Lukas Klostermann,Germany
Armel Bella Kotchap,Germany
Christian Gunter,Germany
Ilkay Gundogan,Germany
Jonas Hofmann,Germany
Leon Goretzka,Germany
Serge Gnabry,Germany
Leroy Sane,Germany
Jamal Musiala,Germany
Joshua Kimmich,Germany
Thomas Muller,Germany
Julian Brandt,Germany
Mario Gotze,Germany
Kai Havertz,Germany
Youssoufa Moukoko,Germany
Niclas Fullkrug,Germany
Karim Adeyemi,Germany
Eiji Kawashima,Japan
Shuichi Gonda ,Japan
Daniel Yuji Yabuki Schmidt,Japan
Hiroki Sakai,Japan
Miki Yamane,Japan
Takehiro Tomiyasu ,Japan
Ko Itakura ,Japan
Maya Yoshida ,Japan
Shogo Taniguchi,Japan
Hiroki Ito,Japan
Yuto Nagatomo ,Japan
Yuta Nakayama ,Japan
Gaku Shibasaki,Japan
Wataru Endo,Japan
Hidemasa Morita,Japan
Daichi Kamada,Japan
Ao Tanaka,Japan
Takumi Minamino ,Japan
Junya Ito,Japan
Takuma Asano,Japan
Yuki Soma,Japan
Kaoru Mitoma,Japan
Daizen Maeda,Japan
Ritsu Doan ,Japan
Ayase Ueda,Japan
Takefusa Kubo,Japan
Thibaut Courtois,Belgium
Simon Mignolet,Belgium
Koen Casteels,Belgium
Jan Vertonghen,Belgium
Toby Alderweireld,Belgium
Leander Dendoncker,Belgium
Zeno Debast,Belgium
Arthur Theate,Belgium
Wout Faes,Belgium
Hans Vanaken,Belgium
Axel Witsel,Belgium
Youri Tielemans,Belgium
Amadou Onana,Belgium
Kevin De Bruyne,Belgium
Yannick Carrasco,Belgium
Thorgan Hazard,Belgium
Timothy Castagne,Belgium
Thomas Meunier,Belgium
Romelu Lukaku,Belgium
Michy Batshuayi,Belgium
Lois Openda,Belgium
Charles De Ketelaere,Belgium
Eden Hazard,Belgium
Jeremy Doku,Belgium
Dries Mertens,Belgium
Leandro Trossard,Belgium
Dayne St. Clair,Canada
Maxime Crépeau,Canada
Milan Borjan,Canada
Alistair Johnston,Canada
Kamal Miller,Canada
Steven Vitoria,Canada
Derek Cornelius,Canada
Scott Kennedy,Canada
Joel Robert Waterman,Canada
Samuel Adekugbe,Canada
Samuel Piette,Canada
Stephen Eustaquio,Canada
Ismael Kenneth Jordan Kone,Canada
Junior Hoilett,Canada
Mark-Anthony Kaye,Canada
Alphonso Davies,Canada
Richie Laryea,Canada
Luca Warrick Daeovie Koleosho,Canada
Lucas Cavallini,Canada
Tajon Buchanan,Canada
Ike Ugbo,Canada
Charles-Andreas Brym,Canada
Cyle Larin,Canada
Jonathan David,Canada
Liam Alan Millar,Canada
Theodor Corbeanu,Canada
Bono,Morocco
Munir El Kajoui,Morocco
Ahmed Tagnaouti,Morocco
Nayef Aguerd,Morocco
Yahia Attiyat Allah,Morocco
Badr Benoun,Morocco
Achraf Dari,Morocco
Jawad El Yamiq,Morocco
Achraf Hakimi,Morocco
Noussair Mazraoui,Morocco
Romain Saiss,Morocco
Sofyan Amrabat,Morocco
Selim Amallah,Morocco
Bilal El Khannous,Morocco
Yahya Jabrane,Morocco
Azzedine Ounahi,Morocco
Abdelhamid Sabiri,Morocco
Zakaria Aboukhlal,Morocco
Sofiane Boufal,Morocco
Ilias Chair,Morocco
Walid Cheddira,Morocco
Youssef En-Nesyri,Morocco
Abde Ezzalzouli,Morocco
Abderrazak Hamdallah,Morocco
Amine Harit,Morocco
Hakim Ziyech,Morocco
Dominik Livakovic,Croatia
Ivica Ivusic,Croatia
Ivo Grbic,Croatia
Domagoj Vida,Croatia
Dejan Lovren,Croatia
Borna Barisic,Croatia
Josip Juranovic,Croatia
Josko Gvardiol,Croatia
Borna Sosa,Croatia
Josip Stanisic,Croatia
Martin Erlic,Croatia
Josip Sutalo,Croatia
Luka Modric,Croatia
Mateo Kovacic,Croatia
Marcelo Brozovic,Croatia
Mario Pasalic,Croatia
Nikola Vlasic,Croatia
Lovro Majer,Croatia
Kristijan Jakic,Croatia
Luka Sucic,Croatia
Ivan Perisic,Croatia
Andrej Kramaric,Croatia
Bruno Petkovic,Croatia
Mislav Orsic,Croatia
Ante Budimir,Croatia
Marko Livaja,Croatia
Alisson,Brazil
Ederson,Brazil
Weverton,Brazil
Dani Alves,Brazil
Danilo,Brazil
Alex Sandro,Brazil
Alex Telles,Brazil
Bremer,Brazil
Eder Militao,Brazil
Marquinhos,Brazil
Thiago Silva,Brazil
Bruno Guimaraes,Brazil
Casemiro,Brazil
Everton Ribeiro,Brazil
Fabinho,Brazil
Fred,Brazil
Lucas Paqueta,Brazil
Antony,Brazil
Gabriel Jesus,Brazil
Gabriel Martinelli,Brazil
Neymar,Brazil
Pedro,Brazil
Raphinha,Brazil
Richarlison,Brazil
Rodrygo,Brazil
Vinicius Junior,Brazil
Marko Dmitrovic,Serbia
Marko Ilic,Serbia
Vanja Milinkovic-Savic,Serbia
Strahinja Pavlovic,Serbia
Srdan Babic,Serbia
Milos Veljkovic,Serbia
Stefan Mitrovic,Serbia
Strahinja Erakovic,Serbia
Erhan Masovic,Serbia
Filip Mladenovic,Serbia
Nemanja Maksimovic,Serbia
Nemanja Radonjic,Serbia
Uros Racic,Serbia
Ivan Ilic,Serbia
Nemanja Gudelj,Serbia
Dusan Tadic,Serbia
Andrija Zivkovic,Serbia
Sasa Lukic,Serbia
Filip Kostic,Serbia
Aleksa Terzic,Serbia
Sergej Milinkovic-Savic,Serbia
Filip Duricic,Serbia
Darko Lazovic,Serbia
Aleksandar Mitrovic,Serbia
Luka Jovic,Serbia
Stefan Mitrovic,Serbia
Dusan Vlahovic,Serbia
Gregor Kobel,Switzerland
Yann Sommer,Switzerland
Jonas Omlin,Switzerland
Philipp Kohn,Switzerland
Manuel Akanji,Switzerland
Eray Comert,Switzerland
Nico Elvedi,Switzerland
Fabian Schar,Switzerland
Silvan Widmer,Switzerland
Ricardo Rodriguez,Switzerland
Edimilson Fernandes,Switzerland
Michel Aebischer,Switzerland
Xherdan Shaqiri,Switzerland
Renato Steffen,Switzerland
Granit Xhaka,Switzerland
Denis Zakaria,Switzerland
Fabian Frei,Switzerland
Remo Freuler,Switzerland
Noah Okafor,Switzerland
Fabian Rieder,Switzerland
Ardon Jashari,Switzerland
Breel Embolo,Switzerland
Ruben Vargas,Switzerland
Djibril Sow,Switzerland
Haris Seferovic,Switzerland
Christian Fassnacht,Switzerland
Andre Onana,Cameroon
Devis Epassy,Cameroon
Simon Ngapandouetnbu,Cameroon
Jean-Charles Castelletto,Cameroon
Enzo Ebosse,Cameroon
Collins Fai,Cameroon
Olivier Mbaizo,Cameroon
Nouhou Tolo,Cameroon
Nicolas Nkoulou,Cameroon
Christopher Wooh,Cameroon
Olivier Ntcham,Cameroon
Gael Ondoua,Cameroon
Martin Hongla,Cameroon
Pierre Kunde,Cameroon
Samuel Oum Gouet,Cameroon
Andre-Frank Zambo Anguissa,Cameroon
Jerome Ngom,Cameroon
Nicolas Ngamaleu,Cameroon
Christian Bassogog,Cameroon
Bryan Mbeumo,Cameroon
Georges-Kevin Nkoudou,Cameroon
Jean-Pierre Nsame,Cameroon
Vincent Aboubakar,Cameroon
Karl Toko-Ekambi,Cameroon
Eric Maxim Choupo-Moting,Cameroon
Souaibou Marou,Cameroon
Diogo Costa,Portugal
Jose Sa,Portugal
Rui Patricio,Portugal
Diogo Dalot,Portugal
Joao Cancelo,Portugal
Danilo Pereira,Portugal
Pepe,Portugal
Ruben Dias,Portugal
Antonio Silva,Portugal
Nuno Mendes,Portugal
Raphael Guerreiro,Portugal
Joao Palhinha,Portugal
Ruben Neves,Portugal
Bernardo Silva,Portugal
Bruno Fernandes,Portugal
Joao Mario,Portugal
Matheus Nunes,Portugal
Vitinha,Portugal
William Carvalho,Portugal
Otavio,Portugal
Cristiano Ronaldo,Portugal
Joao Felix,Portugal
Rafael Leao,Portugal
Ricardo Horta,Portugal
Goncalo Ramos,Portugal
Andre Silva,Portugal
Richard Ofori Antwi,Ghana
Abdul Nurudeen,Ghana
Joseph Wollacott,Ghana
Tariq Lamptey,Ghana
Denis Odoi,Ghana
Mohamed Salisu,Ghana
Gideon Mensah,Ghana
Joseph Aidoo,Ghana
Abdul Baba,Ghana
Daniel Amartey,Ghana
Alexander Djiku,Ghana
Stephan Ambrosius,Ghana
Alidu Seidu,Ghana
Thomas Partey,Ghana
Elisha Owusu,Ghana
Daniel Kofi Kyereh,Ghana
Andre Ayew,Ghana
Mohammed Kudus,Ghana
Iddrisu Baba,Ghana
Kamaldeen Sulemana,Ghana
Issahaku Fatawu,Ghana
Jordan Ayew,Ghana
Osman Bukari,Ghana
Felix Afena Gyan,Ghana
Benjamin Tetteh,Ghana
Inaki Williams,Ghana
Ransford Konigsdorffer,Ghana
Antoine Semenyo,Ghana
Daniel Afriyie,Ghana
Fernando Muslera,Uruguay
Sergio Rochet,Uruguay
Sebastian Sosa,Uruguay
Jose Maria Gimenez,Uruguay
Sebastian Coates,Uruguay
Diego Godin,Uruguay
Martin Caceres,Uruguay
Ronald Araujo,Uruguay
Guillermo Varela,Uruguay
Jose Luis Rodriguez,Uruguay
Matias Vina,Uruguay
Mathias Olivera,Uruguay
Lucas Torreira,Uruguay
Manuel Ugarte,Uruguay
Matias Vecino,Uruguay
Rodrigo Bentancur,Uruguay
Federico Valverde,Uruguay
Facundo Pellistri,Uruguay
Agustin Canobbio,Uruguay
Facundo Torres,Uruguay
Nicolas De La Cruz,Uruguay
Giorgian De Arrascaeta,Uruguay
Luis Suarez,Uruguay
Edinson Cavani,Uruguay
Darwin Nunez,Uruguay
Maximiliano Gomez,Uruguay
Seung Gyu Kim,Korea Republic
Bum Keun Song,Korea Republic
Sung Yun Gu,Korea Republic
Hyeon Woo Jo,Korea Republic
Tae Hwan Kim,Korea Republic
Jin Su Kim,Korea Republic
Chul Hong,Korea Republic
Ji-Soo Park,Korea Republic
Young Gwon Kim,Korea Republic
Kyung Won Kwon,Korea Republic
Moon Hwan Kim,Korea Republic
Jong Gyu Yoon,Korea Republic
Min Gyu Park,Korea Republic
Woo Young Jung,Korea Republic
Seung Ho Paik,Korea Republic
Jun Ho Son,Korea Republic
Min Kyu Song,Korea Republic
Yu Min Cho,Korea Republic
Sang Ho Na,Korea Republic
Hyun Jun Yang,Korea Republic
Jin Kyu Kim,Korea Republic
Chang Hoon Kwon,Korea Republic
Seung Beom Ko,Korea Republic
Won Sang Um,Korea Republic
Heung Min Son,Korea Republic
Gue Sung Cho,Korea Republic
